,0,1,2,3
7.1,-5.335441624,-5.344536687,-5.344927109,-5.535175092
7.2,-5.120937457,-5.40255988,-5.406327351,-5.943318458
7.3,-6.648962682,-6.611761903,-6.579472536,-6.613470897
7.4,-7.107372322,-7.107221169,-6.958783048,-7.105010887
7.5,-5.041377344,-5.686006812,-5.686795392,-5.685526845
7.6,-5.787117739,-5.903443604,-5.784497069,-5.87328132
7.7,-4.82161651,-4.821067347,-4.89253458,-4.787290207
7.8,-6.155618938,-6.15823659,-6.109852306,-6.15839086
7.9,-6.227297693,-6.230190463,-6.227165766,-6.211581001
8,-5.856529698,-5.91574215,-5.858086209,-5.855397379
8.1,-5.617508834,-5.628918501,-3.862593391,-5.532520304
8.2,-4.784989635,-4.788511035,-4.864753824,-4.789865358
8.3,-4.507281122,-4.641125199,-4.509845364,-4.690608751
8.4,-4.008486639,-4.158493243,-4.00635329,-4.150206933
8.5,-4.916828626,-4.83265489,-4.762214713,-4.860188895
8.6,-4.729280137,-4.936611184,-4.725975698,-4.729483958
8.7,-6.120521909,-6.12191451,-6.069646711,-6.120493582
8.8,-5.971224202,-6.033566339,-6.031628571,-6.032447097
8.9,-5.270549428,-5.271016956,-5.38017968,-5.273749899
9,-3.798932463,-3.803582924,-3.858344456,-3.799042273
9.1,-5.629071468,-5.626908407,-5.647952444,-5.627671218
9.2,-5.650729725,-5.864233372,-5.865344305,-5.861437402
9.3,-5.736735859,-5.742237445,-5.737134057,-5.730379769
9.4,-5.670573303,-5.667156555,-5.683341457,-5.667955787
9.5,-5.269609339,-5.270162628,-5.347211361,-5.271175493
9.6,-6.698128468,-6.70017,-6.699175527,-6.611604161
9.7,-5.758341511,-5.758903825,-5.755443905,-5.653644152
9.8,-6.443229154,-6.323509187,-6.444156479,-6.444179693
9.9,-6.958471896,-6.957494582,-5.903503491,-6.958094019
10,-3.972354537,-4.018274814,-3.180215917,-4.04282643
10.1,0.941339958,-1.863622647,-1.143026685,-0.971795128
10.2,-1.913957724,-1.473857151,-0.710399186,4.191723963
10.3,-0.876698538,-1.738601677,3.026034935,-1.480716025
10.4,-0.57012658,2.529987615,-0.063689479,-0.763496724
10.5,-1.570273672,0.367003731,4.398717299,-2.329251228
10.6,3.221020972,-0.93653926,0.106311627,-1.400383351
10.7,-1.101741906,-1.093595751,-1.874703642,3.395221444
10.8,-1.307326232,-0.670228104,-0.370174821,1.868925775
10.9,-1.575051152,2.224293435,-0.328918694,-0.27654566
11,0.240883536,0.493193291,0.044998147,3.755632405
11.1,-0.060958291,-1.395192227,0.473223431,4.734415836
11.2,0.588687079,1.244767384,4.515351743,1.189808311
11.3,0.090560166,2.356096407,4.543412311,0.434276217
11.4,2.154384357,3.570915332,4.932208845,2.292850021
11.5,3.493354998,1.374437031,0.932722824,5.400330136
11.6,2.043604828,1.773223011,3.824420695,4.248745174
11.7,2.411485098,3.246670293,3.845661193,1.985949884
11.8,4.718232943,3.676371573,2.81741684,3.188147958
11.9,4.906759606,2.677525299,2.746877939,2.367013786
12,5.062212116,3.52791102,2.404302491,4.586638974
12.1,4.085002938,2.865006901,2.673974917,4.885786959
12.2,5.278217706,4.924611627,3.467164864,2.87200475
12.3,3.590256398,5.797620163,4.258870914,2.530144955
12.4,2.947883256,3.203915005,5.050711797,3.863185398
12.5,4.806245752,2.80814898,3.654998342,3.126748047
12.6,3.328123825,3.768533939,6.240226214,3.160817623
12.7,4.920696184,4.047153255,4.419361905,3.762840943
12.8,5.028100816,3.323356243,3.084595087,4.451018802
12.9,5.213718685,5.165921898,5.014807278,5.189220336
13,5.329819643,4.538135099,8.365420987,5.278017882
13.1,5.167253472,4.783370928,5.335333562,4.808620952
13.2,7.629011969,5.134686528,5.294241756,5.223748411
13.3,4.953712285,4.153560266,5.010309934,4.823082299
13.4,5.155065338,5.289279372,5.101129446,4.520744713
13.5,4.513100514,6.598398364,5.239112198,5.875396584
13.6,6.428575064,6.489616506,6.490771365,6.204516466
13.7,6.283928804,6.14733667,4.989772216,6.284148173
13.8,5.644953022,6.495104273,15.32107489,6.19156373
13.9,4.243039266,6.876229533,5.979021465,5.096170963
14,4.631551034,16.6271509,5.956954327,11.54956386
14.1,5.430699353,7.044359223,6.052763174,7.044708894
14.2,5.771383364,5.537308751,5.0658782,5.677635539
14.3,6.360297017,5.417314072,5.335000674,5.317034085
14.4,7.087070463,6.918201298,7.092969285,7.094686888
14.5,5.596951776,8.910384847,7.600923443,6.238322397
14.6,7.448776895,9.592236296,6.983701019,7.654356001
14.7,7.157806295,6.564471484,6.868100808,6.108263499
14.8,6.977206874,6.714529491,7.293915426,6.976269938
14.9,7.073539157,6.705003545,6.704546796,6.70559465
15,7.584421462,7.692255501,7.871928002,7.793549602
15.1,12.85526076,12.37960387,12.59410249,11.75820308
15.2,8.410521227,8.408632828,8.274679071,8.137894729
15.3,10.8454181,8.389511028,10.31831665,10.84670228
15.4,10.6706827,10.27030112,10.47595868,10.6696246
15.5,11.71733874,11.67826668,11.69932513,11.71571217
15.6,18.66543879,19.69918743,19.5229694,19.69737947
15.7,8.292676579,8.365015002,8.254320363,26.54109635
15.8,8.457572036,8.317114594,8.455237542,8.454399065
15.9,11.14095875,28.97163746,39.91251282,16.30298183
16,9.893797217,9.610020206,9.897175687,9.894934126
16.1,6.852064593,11.66574944,14.30995028,11.1779372
16.2,9.679573934,13.97965825,7.458950828,10.39834632
